Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
2100,Southeast Dubois Co Sch Corp,17,21,25,30,55,93,59.1%,6,11,28,37,65,82,79.3%,11,17,35,39,74,102,72.5%,7,23,28,45,73,103,70.9%,16,15,36,19,55,86,64.0%,19,27,23,10,33,79,41.8%,76,114,175,180,355,545,65.1%,
2110,Southwest Dubois Co Sch Corp,31,35,60,42,102,168,60.7%,47,36,53,27,80,163,49.1%,36,38,34,30,64,138,46.4%,25,30,31,45,76,131,58.0%,53,33,18,22,40,126,31.7%,32,44,25,36,61,137,44.5%,224,216,221,202,423,863,49.0%,
2120,Greater Jasper Consolidated Schs,43,45,83,110,193,281,68.7%,34,33,89,73,162,229,70.7%,48,58,78,58,136,242,56.2%,67,59,49,71,120,246,48.8%,52,41,51,55,106,199,53.3%,78,67,42,59,101,246,41.1%,322,303,392,426,818,1443,56.7%,
2155,Fairfield Community Schools,14,22,52,84,136,172,79.1%,31,37,72,47,119,187,63.6%,30,48,45,61,106,184,57.6%,40,41,43,44,87,168,51.8%,48,55,35,39,74,177,41.8%,67,52,28,30,58,177,32.8%,230,255,275,305,580,1065,54.5%,
2260,Baugo Community Schools,8,5,26,87,113,126,89.7%,19,13,47,73,120,152,78.9%,19,26,37,44,81,126,64.3%,26,35,40,66,106,167,63.5%,21,30,44,40,84,135,62.2%,44,43,38,22,60,147,40.8%,137,152,232,332,564,853,66.1%,
2270,Concord Community Schools,131,58,104,76,180,369,48.8%,167,86,103,48,151,404,37.4%,131,94,77,36,113,338,33.4%,172,92,89,53,142,406,35.0%,211,121,56,40,96,428,22.4%,253,91,44,33,77,421,18.3%,1065,542,473,286,759,2366,32.1%,
2275,Middlebury Community Schools,40,44,91,124,215,299,71.9%,77,61,97,43,140,278,50.4%,103,112,91,38,129,344,37.5%,68,68,97,71,168,304,55.3%,82,82,78,61,139,303,45.9%,48,55,86,129,215,318,67.6%,418,422,540,466,1006,1846,54.5%,
2285,Wa-Nee Community Schools,29,41,58,95,153,223,68.6%,43,40,86,53,139,222,62.6%,39,37,49,93,142,218,65.1%,25,26,46,105,151,202,74.8%,55,45,48,73,121,221,54.8%,41,45,60,83,143,229,62.4%,232,234,347,502,849,1315,64.6%,
2305,Elkhart Community Schools,449,145,186,59,245,839,29.2%,442,174,153,56,209,825,25.3%,415,171,124,75,199,785,25.4%,469,159,126,52,178,806,22.1%,463,176,84,37,121,760,15.9%,496,133,52,66,118,747,15.8%,2734,958,725,345,1070,4762,22.5%,
2315,Goshen Community Schools,144,88,105,82,187,419,44.6%,168,80,110,71,181,429,42.2%,222,105,66,71,137,464,29.5%,243,91,77,55,132,466,28.3%,201,94,76,76,152,447,34.0%,198,127,77,75,152,477,31.9%,1176,585,511,430,941,2702,34.8%,
2395,Fayette County School Corporation,79,58,53,21,74,211,35.1%,73,57,69,26,95,225,42.2%,56,61,47,35,82,199,41.2%,85,56,47,27,74,215,34.4%,111,57,39,7,46,214,21.5%,116,65,39,9,48,229,21.0%,520,354,294,125,419,1293,32.4%,
2400,New Albany-Floyd Co Con Sch,121,109,275,292,567,797,71.1%,178,134,327,244,571,883,64.7%,246,187,207,142,349,782,44.6%,252,217,213,154,367,836,43.9%,249,228,211,171,382,859,44.5%,341,232,166,127,293,866,33.8%,1387,1107,1399,1130,2529,5023,50.3%,
2435,Attica Consolidated School Corp,8,4,11,10,21,33,63.6%,18,5,12,2,14,37,37.8%,13,11,12,9,21,45,46.7%,18,12,1,5,6,36,16.7%,26,7,10,1,11,44,25.0%,15,15,3,2,5,35,14.3%,98,54,49,29,78,230,33.9%,
2440,Covington Community School Corp,14,15,22,11,33,62,53.2%,17,14,26,22,48,79,60.8%,12,11,17,12,29,52,55.8%,15,12,17,26,43,70,61.4%,17,20,10,6,16,53,30.2%,10,27,14,16,30,67,44.8%,85,99,106,93,199,383,52.0%,
2455,Southeast Fountain School Corp,23,15,29,17,46,84,54.8%,26,19,22,10,32,77,41.6%,27,32,11,14,25,84,29.8%,26,17,11,5,16,59,27.1%,53,19,14,5,19,91,20.9%,35,23,8,5,13,71,18.3%,190,125,95,56,151,466,32.4%,
2475,Franklin County Community Sch Corp,28,28,35,31,66,122,54.1%,37,35,42,13,55,127,43.3%,41,42,39,23,62,145,42.8%,65,35,38,13,51,151,33.8%,52,54,30,15,45,151,29.8%,55,38,21,8,29,122,23.8%,278,232,205,103,308,818,37.7%,
2645,Rochester Community School Corp,45,31,33,18,51,127,40.2%,41,36,30,16,46,123,37.4%,36,37,27,9,36,109,33.0%,45,34,17,8,25,104,24.0%,47,38,22,5,27,112,24.1%,63,25,11,1,12,100,12.0%,277,201,140,57,197,675,29.2%,
2650,Caston School Corporation,34,12,12,8,20,66,30.3%,20,13,22,10,32,65,49.2%,18,12,24,16,40,70,57.1%,13,13,16,11,27,53,50.9%,25,19,11,8,19,63,30.2%,35,22,12,6,18,75,24.0%,145,91,97,59,156,392,39.8%,
2725,East Gibson School Corporation,20,14,18,7,25,59,42.4%,14,9,12,6,18,41,43.9%,12,9,14,14,28,49,57.1%,20,10,16,13,29,59,49.2%,28,15,3,1,4,47,8.5%,37,12,8,3,11,60,18.3%,131,69,71,44,115,315,36.5%,
2735,North Gibson School Corporation,39,30,38,16,54,123,43.9%,48,34,48,13,61,143,42.7%,73,42,23,8,31,146,21.2%,63,39,22,10,32,134,23.9%,73,36,24,5,29,138,21.0%,71,30,15,13,28,129,21.7%,367,211,170,65,235,813,28.9%,
2765,South Gibson School Corporation,21,19,47,33,80,120,66.7%,25,29,45,31,76,130,58.5%,31,39,48,23,71,141,50.4%,40,50,71,26,97,187,51.9%,34,31,47,61,108,173,62.4%,33,29,39,54,93,155,60.0%,184,197,297,228,525,906,57.9%,
2815,Eastbrook Community Sch Corp,19,20,35,30,65,104,62.5%,34,26,36,17,53,113,46.9%,31,30,25,19,44,105,41.9%,38,27,32,24,56,121,46.3%,25,33,27,23,50,108,46.3%,36,42,30,24,54,132,40.9%,183,178,185,137,322,683,47.1%,
2825,Madison-Grant United School Corp,56,22,11,12,23,101,22.8%,75,13,16,16,32,120,26.7%,101,28,15,5,20,149,13.4%,91,34,20,5,25,150,16.7%,128,36,17,10,27,191,14.1%,182,36,8,8,16,234,6.8%,633,169,87,56,143,945,15.1%,
2855,Mississinewa Community School Corp,53,27,32,28,60,140,42.9%,62,34,48,46,94,190,49.5%,61,38,21,30,51,150,34.0%,76,30,33,18,51,157,32.5%,80,48,33,18,51,179,28.5%,82,33,28,17,45,160,28.1%,414,210,195,157,352,976,36.1%,
2865,Marion Community Schools,130,47,49,12,61,238,25.6%,122,37,49,28,77,236,32.6%,152,60,36,18,54,266,20.3%,134,34,28,19,47,215,21.9%,176,47,14,6,20,243,8.2%,164,42,12,13,25,231,10.8%,878,267,188,96,284,1429,19.9%,
2920,Bloomfield School District,24,11,22,12,34,69,49.3%,25,15,17,10,27,67,40.3%,27,25,19,8,27,79,34.2%,28,26,18,8,26,80,32.5%,34,19,7,3,10,63,15.9%,27,10,3,0,3,40,7.5%,165,106,86,41,127,398,31.9%,
2940,Eastern Greene Schools,34,20,20,4,24,78,30.8%,23,16,27,12,39,78,50.0%,37,25,20,6,26,88,29.5%,36,23,14,6,20,79,25.3%,27,23,21,16,37,87,42.5%,37,29,22,17,39,105,37.1%,194,136,124,61,185,515,35.9%,
2950,Linton-Stockton School Corporation,20,11,27,45,72,103,69.9%,14,11,34,36,70,95,73.7%,26,30,23,14,37,93,39.8%,36,23,36,13,49,108,45.4%,29,35,20,11,31,95,32.6%,39,37,17,9,26,102,25.5%,164,147,157,128,285,596,47.8%,
2960,MSD Shakamak Schools,6,10,19,8,27,43,62.8%,13,8,9,10,19,40,47.5%,13,19,16,4,20,52,38.5%,13,16,16,3,19,48,39.6%,16,14,10,2,12,42,28.6%,25,16,5,2,7,48,14.6%,86,83,75,29,104,273,38.1%,
2980,White River Valley School District,23,13,25,5,30,66,45.5%,9,8,19,12,31,48,64.6%,12,11,15,8,23,46,50.0%,7,8,8,14,22,37,59.5%,21,13,13,9,22,56,39.3%,10,20,6,11,17,47,36.2%,82,73,86,59,145,300,48.3%,
3005,Hamilton Southeastern Schools,169,210,483,653,1136,1515,75.0%,232,251,567,535,1102,1585,69.5%,265,328,479,524,1003,1596,62.8%,254,311,436,569,1005,1570,64.0%,280,364,424,566,990,1634,60.6%,311,424,413,471,884,1619,54.6%,1511,1888,2802,3318,6120,9519,64.3%,
3025,Hamilton Heights School Corp,41,32,63,26,89,162,54.9%,46,49,50,32,82,177,46.3%,57,44,44,36,80,181,44.2%,43,30,31,27,58,131,44.3%,52,66,47,38,85,203,41.9%,42,59,43,43,86,187,46.0%,281,280,278,202,480,1041,46.1%,
3030,Westfield-Washington Schools,80,100,211,397,608,788,77.2%,108,117,284,303,587,812,72.3%,136,151,186,228,414,701,59.1%,156,143,206,268,474,773,61.3%,134,142,206,246,452,728,62.1%,107,168,168,288,456,731,62.4%,721,821,1261,1730,2991,4533,66.0%,
3055,Sheridan Community Schools,31,12,27,21,48,91,52.7%,24,23,27,11,38,85,44.7%,22,26,19,9,28,76,36.8%,37,30,20,15,35,102,34.3%,28,27,18,17,35,90,38.9%,33,25,13,6,19,77,24.7%,175,143,124,79,203,521,39.0%,
3060,Carmel Clay Schools,138,124,342,588,930,1192,78.0%,111,182,385,563,948,1241,76.4%,147,200,318,520,838,1185,70.7%,203,228,351,528,879,1310,67.1%,165,223,324,554,878,1266,69.4%,206,248,287,539,826,1280,64.5%,970,1205,2007,3292,5299,7474,70.9%,
3070,Noblesville Schools,152,116,264,251,515,783,65.8%,162,155,323,200,523,840,62.3%,181,201,248,176,424,806,52.6%,243,208,179,142,321,772,41.6%,148,212,229,202,431,791,54.5%,205,231,194,222,416,852,48.8%,1091,1123,1437,1193,2630,4844,54.3%,
3115,New Palestine Community Schools,41,49,93,98,191,281,68.0%,67,61,111,74,185,313,59.1%,52,58,86,66,152,262,58.0%,73,61,86,87,173,307,56.4%,64,67,69,95,164,295,55.6%,79,76,57,102,159,314,50.6%,376,372,502,522,1024,1772,57.8%,
3125,Greenfield-Central Com Schools,81,53,77,97,174,308,56.5%,59,53,99,77,176,288,61.1%,73,79,81,71,152,304,50.0%,120,69,66,63,129,318,40.6%,129,102,58,47,105,336,31.3%,149,74,51,48,99,322,30.7%,611,430,432,403,835,1876,44.5%,
3135,Mt Vernon Community School Corp,55,69,112,95,207,331,62.5%,95,84,136,87,223,402,55.5%,74,116,87,80,167,357,46.8%,81,87,104,79,183,351,52.1%,135,132,65,51,116,383,30.3%,114,107,78,69,147,368,39.9%,554,595,582,461,1043,2192,47.6%,
3145,Eastern Hancock Co Com Sch Corp,13,11,26,38,64,88,72.7%,11,21,32,23,55,87,63.2%,18,17,25,27,52,87,59.8%,27,33,29,12,41,101,40.6%,32,30,24,7,31,93,33.3%,15,31,19,29,48,94,51.1%,116,143,155,136,291,550,52.9%,
