Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
8565,Twin Lakes School Corp,67,40,36,28,64,171,37.4%,51,40,52,30,82,173,47.4%,78,45,38,14,52,175,29.7%,66,44,40,24,64,174,36.8%,53,40,28,22,50,143,35.0%,76,51,27,19,46,173,26.6%,391,260,221,137,358,1009,35.5%,
8625,Smith-Green Community Schools,10,16,30,32,62,88,70.5%,40,14,25,10,35,89,39.3%,19,26,22,12,34,79,43.0%,33,27,17,2,19,79,24.1%,26,35,20,2,22,83,26.5%,45,29,6,3,9,83,10.8%,173,147,120,61,181,501,36.1%,
8665,Whitley County Con Schools,69,41,72,70,142,252,56.3%,83,66,86,50,136,285,47.7%,85,78,53,51,104,267,39.0%,92,63,53,31,84,239,35.1%,106,68,59,27,86,260,33.1%,146,87,27,28,55,288,19.1%,581,403,350,257,607,1591,38.2%,
8675,Invent Learning Hub,16,3,2,1,3,22,13.6%,8,1,2,1,3,12,25.0%,16,6,1,0,1,23,4.3%,10,3,0,0,0,13,0.0%,20,3,1,0,1,24,4.2%,9,5,1,1,2,16,12.5%,79,21,7,3,10,110,9.1%,
8685,PLA at George H Fisher School 93,23,11,16,2,18,52,34.6%,22,11,20,7,27,60,45.0%,29,11,12,6,18,58,31.0%,44,9,11,1,12,65,18.5%,,,,,,,,,,,,,,,118,42,59,16,75,235,31.9%,
8690,Dynamic Minds Academy,***,***,***,***,***,4,***,***,***,***,***,***,1,***,***,***,***,***,***,7,***,***,***,***,***,***,6,***,***,***,***,***,***,4,***,***,***,***,***,***,7,***,25,2,2,0,2,29,6.9%,
8950,Phalen Leadership Academy at Francis Scott Key School 103,42,17,18,2,20,79,25.3%,69,14,12,1,13,96,13.5%,53,14,6,0,6,73,8.2%,68,10,6,3,9,87,10.3%,,,,,,,,,,,,,,,232,55,42,6,48,335,14.3%,
8970,GEO Next Generation Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,0,0,0,16,0.0%,21,1,0,0,0,22,0.0%,34,4,0,0,0,38,0.0%,
8980,The PATH School,48,13,13,3,16,77,20.8%,57,7,7,1,8,72,11.1%,62,6,6,1,7,75,9.3%,61,16,2,0,2,79,2.5%,36,13,4,1,5,54,9.3%,48,7,2,0,2,57,3.5%,312,62,34,6,40,414,9.7%,
9000,Phalen Virtual Leadership Academy,13,2,1,0,1,16,6.3%,19,2,1,1,2,23,8.7%,16,3,2,0,2,21,9.5%,21,2,0,0,0,23,0.0%,23,4,0,0,0,27,0.0%,37,0,1,0,1,38,2.6%,129,13,5,1,6,148,4.1%,
9004,Paramount School of Excellence South Bend,20,8,2,1,3,31,9.7%,24,4,12,2,14,42,33.3%,30,11,3,3,6,47,12.8%,22,9,5,3,8,39,20.5%,,,,,,,,,,,,,,,96,32,22,9,31,159,19.5%,
9022,Paramount School of Excellence Lafayette,12,5,1,1,2,19,10.5%,9,5,3,4,7,21,33.3%,14,10,8,5,13,37,35.1%,5,3,8,1,9,17,52.9%,,,,,,,,,,,,,,,40,23,20,11,31,94,33.0%,
9027,Success Academy at Boys and Girls Club,10,4,0,0,0,14,0.0%,8,3,0,0,0,11,0.0%,12,3,0,0,0,15,0.0%,,,,,,,,,,,,,,,,,,,,,,30,10,0,0,0,40,0.0%,
9030,Otwell Miller Academy,10,3,1,2,3,16,18.8%,8,5,3,2,5,18,27.8%,9,4,1,1,2,15,13.3%,,,,,,,,,,,,,,,,,,,,,,27,12,5,5,10,49,20.4%,
9035,Indiana Connections Career Academy,,,,,,,,,,,,,,,,,,,,,,15,2,5,0,5,22,22.7%,25,15,5,2,7,47,14.9%,41,18,5,3,8,67,11.9%,81,35,15,5,20,136,14.7%,
9040,Avondale Meadows Middle School,,,,,,,,,,,,,,,37,9,3,2,5,51,9.8%,35,7,3,0,3,45,6.7%,41,9,2,0,2,52,3.8%,27,18,2,0,2,47,4.3%,140,43,10,2,12,195,6.2%,
9043,Premier Arts Academy,9,15,5,1,6,30,20.0%,15,3,3,1,4,22,18.2%,15,6,3,1,4,25,16.0%,17,4,2,1,3,24,12.5%,,,,,,,,,,,,,,,56,28,13,4,17,101,16.8%,
9045,James & Rosemary Phalen Leadership Academy Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,22,15,3,18,118,15.3%,113,24,7,3,10,147,6.8%,191,46,22,6,28,265,10.6%,
9054,The Genius School,11,5,3,0,3,19,15.8%,11,2,2,0,2,15,13.3%,12,3,1,1,2,17,11.8%,8,2,3,0,3,13,23.1%,,,,,,,,,,,,,,,42,12,9,1,10,64,15.6%,
9060,Paramount Cottage Home,19,11,22,31,53,83,63.9%,14,10,18,10,28,52,53.8%,6,4,13,13,26,36,72.2%,,,,,,,,,,,,,,,,,,,,,,39,25,53,54,107,171,62.6%,
9065,Allegiant Preparatory Academy,10,7,9,1,10,27,37.0%,13,5,4,0,4,22,18.2%,4,10,2,0,2,16,12.5%,,,,,,,,,,,,,,,,,,,,,,27,22,15,1,16,65,24.6%,
9085,pilotED Schools,19,14,7,0,7,40,17.5%,21,4,6,0,6,31,19.4%,19,1,3,1,4,24,16.7%,10,2,0,1,1,13,7.7%,,,,,,,,,,,,,,,69,21,16,2,18,108,16.7%,
9090,Matchbook Learning  ,64,7,2,0,2,73,2.7%,61,11,5,1,6,78,7.7%,67,8,2,1,3,78,3.8%,58,11,3,0,3,72,4.2%,46,10,7,1,8,64,12.5%,75,7,1,3,4,86,4.7%,371,54,20,6,26,451,5.8%,
9120,Hoosier College and Career Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,16,4,0,4,91,4.4%,154,16,6,3,9,179,5.0%,225,32,10,3,13,270,4.8%,
9130,Adelante Schools,12,5,9,8,17,34,50.0%,35,12,5,1,6,53,11.3%,27,9,1,2,3,39,7.7%,20,5,7,1,8,33,24.2%,42,16,4,4,8,66,12.1%,42,11,6,3,9,62,14.5%,178,58,32,19,51,287,17.8%,
9150,Circle City Prep Charter School,23,12,8,1,9,44,20.5%,23,3,10,5,15,41,36.6%,21,10,5,1,6,37,16.2%,13,4,7,0,7,24,29.2%,14,7,1,2,3,24,12.5%,,,,,,,,94,36,31,9,40,170,23.5%,
9165,Paramount Englewood,,,,,,,,,,,,,,,4,8,4,1,5,17,29.4%,30,16,14,2,16,62,25.8%,37,16,13,15,28,81,34.6%,18,12,20,12,32,62,51.6%,89,52,51,30,81,222,36.5%,
9170,Rooted School Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,2,0,2,27,7.4%,21,5,1,0,1,27,3.7%,42,9,3,0,3,54,5.6%,
9195,Timothy L. Johnson Academy Middle ,,,,,,,,,,,,,,,,,,,,,,43,7,1,0,1,51,2.0%,49,6,1,0,1,56,1.8%,45,2,2,0,2,49,4.1%,137,15,4,0,4,156,2.6%,
9200,Archdiocese of Indianapolis,278,274,577,544,1121,1673,67.0%,344,296,572,471,1043,1683,62.0%,319,367,437,425,862,1548,55.7%,364,404,470,395,865,1633,53.0%,349,424,376,356,732,1505,48.6%,425,404,328,347,675,1504,44.9%,2079,2169,2760,2538,5298,9546,55.5%,
9205,Diocese of Gary,67,94,177,117,294,455,64.6%,97,103,163,89,252,452,55.8%,119,131,110,90,200,450,44.4%,153,140,115,80,195,488,40.0%,123,138,76,112,188,449,41.9%,148,132,101,62,163,443,36.8%,707,738,742,550,1292,2737,47.2%,
9210,Diocese of Lafayette Catholic Sch,55,72,139,145,284,411,69.1%,52,71,157,100,257,380,67.6%,57,97,114,134,248,402,61.7%,70,88,103,116,219,377,58.1%,45,100,85,135,220,365,60.3%,56,88,74,97,171,315,54.3%,335,516,672,727,1399,2250,62.2%,
9215,Diocese of Evansville,45,82,168,228,396,523,75.7%,64,93,209,152,361,518,69.7%,72,102,182,161,343,517,66.3%,71,89,149,133,282,442,63.8%,54,119,132,154,286,459,62.3%,69,107,117,132,249,425,58.6%,375,592,957,960,1917,2884,66.5%,
9220,Diocese of Fort Wayne - South Bend,196,171,385,327,712,1079,66.0%,227,218,382,241,623,1068,58.3%,228,275,261,261,522,1025,50.9%,287,253,292,199,491,1031,47.6%,256,292,199,216,415,963,43.1%,276,269,175,166,341,886,38.5%,1470,1478,1694,1410,3104,6052,51.3%,
9230,Lutheran Schools of Indiana,128,156,307,186,493,777,63.4%,156,175,310,154,464,795,58.4%,220,234,224,153,377,831,45.4%,233,218,202,102,304,755,40.3%,137,243,193,122,315,695,45.3%,193,220,140,98,238,651,36.6%,1067,1246,1376,815,2191,4504,48.6%,
9240,The Oaks Academy,18,18,40,31,71,107,66.4%,17,28,40,19,59,104,56.7%,13,26,30,34,64,103,62.1%,12,27,41,30,71,110,64.5%,9,27,29,34,63,99,63.6%,12,17,23,30,53,82,64.6%,81,143,203,178,381,605,63.0%,
9310,Charter School of the Dunes,61,9,11,0,11,81,13.6%,49,10,3,0,3,62,4.8%,53,8,3,0,3,64,4.7%,50,9,2,0,2,61,3.3%,71,7,2,1,3,81,3.7%,55,13,2,1,3,71,4.2%,339,56,23,2,25,420,6.0%,
9320,Community Montessori Inc,23,6,2,4,6,35,17.1%,16,7,7,0,7,30,23.3%,18,5,3,2,5,28,17.9%,27,4,3,1,4,35,11.4%,15,7,6,2,8,30,26.7%,18,11,4,3,7,36,19.4%,117,40,25,12,37,194,19.1%,
9325,Options Charter Schools,,,,,,,,,,,,,,,,,,,,,,19,8,1,1,2,29,6.9%,41,12,4,1,5,58,8.6%,77,11,3,2,5,93,5.4%,137,31,8,4,12,180,6.7%,
9330,Irvington Community School,33,13,8,7,15,61,24.6%,26,15,21,6,27,68,39.7%,36,19,4,6,10,65,15.4%,41,15,8,2,10,66,15.2%,43,20,5,5,10,73,13.7%,34,23,10,4,14,71,19.7%,213,105,56,30,86,404,21.3%,
9350,Timothy L Johnson Academy,36,12,9,1,10,58,17.2%,45,13,3,0,3,61,4.9%,38,8,2,1,3,49,6.1%,,,,,,,,,,,,,,,,,,,,,,119,33,14,2,16,168,9.5%,
9365,Enlace Academy,50,8,13,3,16,74,21.6%,52,12,9,0,9,73,12.3%,57,12,4,0,4,73,5.5%,59,8,3,1,4,71,5.6%,58,12,2,0,2,72,2.8%,57,13,4,1,5,75,6.7%,333,65,35,5,40,438,9.1%,
9380,Christel House Academy South,21,14,15,3,18,53,34.0%,31,11,10,1,11,53,20.8%,33,15,6,5,11,59,18.6%,39,10,2,1,3,52,5.8%,51,8,4,1,5,64,7.8%,44,9,2,1,3,56,5.4%,219,67,39,12,51,337,15.1%,
9395,Christel House Academy West,37,8,9,1,10,55,18.2%,31,12,8,0,8,51,15.7%,37,11,7,0,7,55,12.7%,36,13,4,0,4,53,7.5%,45,7,2,0,2,54,3.7%,48,4,2,0,2,54,3.7%,234,55,32,1,33,322,10.2%,
9400,KIPP Indy College Prep Middle,,,,,,,,,,,,,,,,,,,,,,92,16,5,4,9,117,7.7%,88,30,4,1,5,123,4.1%,112,14,3,0,3,129,2.3%,292,60,12,5,17,369,4.6%,
9410,KIPP Indy Unite Elementary,75,13,16,3,19,107,17.8%,62,17,20,5,25,104,24.0%,66,18,12,11,23,107,21.5%,,,,,,,,,,,,,,,,,,,,,,203,48,48,19,67,318,21.1%,
9425,Tindley Genesis Academy,48,13,4,0,4,65,6.2%,36,5,3,0,3,44,6.8%,30,10,1,0,1,41,2.4%,33,8,4,0,4,45,8.9%,,,,,,,,,,,,,,,147,36,12,0,12,195,6.2%,
9430,Tindley Summit Academy,23,5,3,5,8,36,22.2%,19,6,2,0,2,27,7.4%,22,2,0,0,0,24,0.0%,13,3,3,0,3,19,15.8%,,,,,,,,,,,,,,,77,16,8,5,13,106,12.3%,
9445,Charles A Tindley Accelerated Sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,16,1,0,1,72,1.4%,55,10,2,0,2,67,3.0%,110,26,3,0,3,139,2.2%,
9460,Thea Bowman Leadership Academy,33,18,14,3,17,68,25.0%,25,10,5,0,5,40,12.5%,38,7,2,0,2,47,4.3%,47,16,6,0,6,69,8.7%,48,14,4,1,5,67,7.5%,65,10,1,0,1,76,1.3%,256,75,32,4,36,367,9.8%,
9485,SE Neighborhood Sch of Excellence,48,14,2,3,5,67,7.5%,46,12,12,3,15,73,20.5%,40,13,5,4,9,62,14.5%,43,11,8,1,9,63,14.3%,57,10,1,0,1,68,1.5%,42,10,4,1,5,57,8.8%,276,70,32,12,44,390,11.3%,
9495,Joshua Academy,19,10,8,6,14,43,32.6%,17,6,10,1,11,34,32.4%,22,1,1,3,4,27,14.8%,12,3,0,0,0,15,0.0%,,,,,,,,,,,,,,,70,20,19,10,29,119,24.4%,
9505,Indiana Agriculture and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,2,0,2,34,5.9%,45,4,2,0,2,51,3.9%,69,12,4,0,4,85,4.7%,
9531,Paramount Online Academy,9,3,2,0,2,14,14.3%,12,5,2,0,2,19,10.5%,22,3,3,0,3,28,10.7%,28,9,3,0,3,40,7.5%,34,9,4,1,5,48,10.4%,40,8,5,2,7,55,12.7%,145,37,19,3,22,204,10.8%,
9533,Promise Prep,10,4,3,0,3,17,17.6%,10,0,1,0,1,11,9.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,4,0,4,28,14.3%,
9534,Indy Steam Academy,8,4,4,5,9,21,42.9%,13,3,2,0,2,18,11.1%,15,0,0,1,1,16,6.3%,16,4,1,0,1,21,4.8%,***,***,***,***,***,8,***,,,,,,,,59,12,7,6,13,84,15.5%,
9535,Gary Lighthouse Charter School,51,12,11,0,11,74,14.9%,55,7,5,0,5,67,7.5%,39,8,5,3,8,55,14.5%,69,8,7,1,8,85,9.4%,60,8,5,3,8,76,10.5%,72,14,2,0,2,88,2.3%,346,57,35,7,42,445,9.4%,
9536,Lawrence County Independent Schools,8,4,5,2,7,19,36.8%,16,3,2,3,5,24,20.8%,14,1,6,0,6,21,28.6%,10,6,0,0,0,16,0.0%,14,5,0,1,1,20,5.0%,12,4,0,4,4,20,20.0%,74,23,13,10,23,120,19.2%,
9537,The Nature School of Central Indiana,5,6,3,1,4,15,26.7%,12,5,3,1,4,21,19.0%,7,4,3,1,4,15,26.7%,10,4,1,0,1,15,6.7%,8,5,0,1,1,14,7.1%,6,3,1,2,3,12,25.0%,48,27,11,6,17,92,18.5%,
9538,Herron Preparatory Academy,14,3,19,9,28,45,62.2%,10,17,18,5,23,50,46.0%,4,2,4,7,11,17,64.7%,,,,,,,,,,,,,,,,,,,,,,28,22,41,21,62,112,55.4%,
9545,21st Century Charter Sch of Gary,32,22,20,4,24,78,30.8%,56,12,18,0,18,86,20.9%,34,9,9,1,10,53,18.9%,58,10,6,1,7,75,9.3%,57,11,3,0,3,71,4.2%,67,13,3,0,3,83,3.6%,304,77,59,6,65,446,14.6%,
9555,East Chicago Urban Enterprise Academy,15,7,19,9,28,50,56.0%,12,13,16,6,22,47,46.8%,26,11,11,3,14,51,27.5%,24,16,3,1,4,44,9.1%,29,6,4,1,5,40,12.5%,31,13,4,1,5,49,10.2%,137,66,57,21,78,281,27.8%,
9575,Victory College Prep,21,17,25,11,36,74,48.6%,24,27,26,9,35,86,40.7%,20,17,22,17,39,76,51.3%,30,20,13,10,23,73,31.5%,33,24,15,8,23,80,28.8%,26,33,12,7,19,78,24.4%,154,138,113,62,175,467,37.5%,
9595,East Chicago Lighthouse Charter,34,11,2,4,6,51,11.8%,41,5,8,0,8,54,14.8%,34,9,2,1,3,46,6.5%,47,8,1,0,1,56,1.8%,35,9,1,1,2,46,4.3%,37,3,1,0,1,41,2.4%,228,45,15,6,21,294,7.1%,
9605,IN Sch for the Blind & Vis Imprd,***,***,***,***,***,2,***,***,***,***,***,***,9,***,***,***,***,***,***,8,***,***,***,***,***,***,7,***,***,***,***,***,***,4,***,***,***,***,***,***,5,***,31,4,0,0,0,35,0.0%,
9610,Indiana School For The Deaf,21,2,3,1,4,27,14.8%,16,1,0,0,0,17,0.0%,19,3,4,0,4,26,15.4%,28,8,3,0,3,39,7.7%,15,3,2,0,2,20,10.0%,19,2,2,0,2,23,8.7%,118,19,14,1,15,152,9.9%,
9615,Andrew J Brown Academy,39,13,10,5,15,67,22.4%,42,9,8,5,13,64,20.3%,22,14,13,11,24,60,40.0%,36,16,3,0,3,55,5.5%,34,13,4,1,5,52,9.6%,29,12,9,3,12,53,22.6%,202,77,47,25,72,351,20.5%,
9620,Burris Laboratory School,5,7,13,19,32,44,72.7%,7,8,16,15,31,46,67.4%,13,15,10,10,20,48,41.7%,20,14,11,12,23,57,40.4%,17,16,17,8,25,58,43.1%,15,22,12,12,24,61,39.3%,77,82,79,76,155,314,49.4%,
9645,Avondale Meadows Academy,39,14,7,0,7,60,11.7%,24,9,5,0,5,38,13.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,23,12,0,12,98,12.2%,
9665,Geist Montessori Academy,8,4,19,13,32,44,72.7%,7,8,11,3,14,29,48.3%,11,8,5,1,6,25,24.0%,14,8,3,1,4,26,15.4%,***,***,***,***,***,7,***,***,***,***,***,***,8,***,47,33,39,20,59,139,42.4%,
9680,Paramount Brookside ,16,16,25,39,64,96,66.7%,31,21,26,7,33,85,38.8%,7,16,24,37,61,84,72.6%,14,5,20,50,70,89,78.7%,26,27,15,18,33,86,38.4%,17,17,31,11,42,76,55.3%,111,102,141,162,303,516,58.7%,
9685,Aspire Charter Academy,29,17,15,8,23,69,33.3%,40,20,15,3,18,78,23.1%,33,13,7,10,17,63,27.0%,50,10,10,3,13,73,17.8%,47,12,3,2,5,64,7.8%,46,12,3,5,8,66,12.1%,245,84,53,31,84,413,20.3%,
9690,Renaissance Academy Charter School,18,7,7,5,12,37,32.4%,13,7,10,4,14,34,41.2%,4,5,6,5,11,20,55.0%,6,3,12,8,20,29,69.0%,3,11,5,6,11,25,44.0%,4,10,4,3,7,21,33.3%,48,43,44,31,75,166,45.2%,
9705,Hammond Academy of Science & Tech,,,,,,,,,,,,,,,,,,,,,,42,29,16,3,19,90,21.1%,57,24,9,2,11,92,12.0%,41,22,11,6,17,80,21.3%,140,75,36,11,47,262,17.9%,
9722,Springville Community Academy,4,5,7,5,12,21,57.1%,8,3,7,1,8,19,42.1%,15,10,5,1,6,31,19.4%,9,4,3,1,4,17,23.5%,5,8,7,3,10,23,43.5%,***,***,***,***,***,9,***,43,33,31,13,44,120,36.7%,
9725,Canaan Community Academy,11,6,4,1,5,22,22.7%,10,6,2,3,5,21,23.8%,11,4,0,0,0,15,0.0%,16,2,0,0,0,18,0.0%,6,5,3,0,3,14,21.4%,7,6,0,1,1,14,7.1%,61,29,9,5,14,104,13.5%,
9735,Inspire Academy - A Sch of Inquiry,10,6,4,0,4,20,20.0%,16,2,1,0,1,19,5.3%,13,1,2,0,2,16,12.5%,20,0,0,0,0,20,0.0%,16,3,0,1,1,20,5.0%,14,1,0,0,0,15,0.0%,89,13,7,1,8,110,7.3%,
9737,Liberty Grove Schools,29,6,2,0,2,37,5.4%,34,5,1,0,1,40,2.5%,42,1,2,0,2,45,4.4%,28,3,1,1,2,33,6.1%,,,,,,,,,,,,,,,133,15,6,1,7,155,4.5%,
9760,Smith Academy for Excellence,,,,,,,,***,***,***,***,***,3,***,***,***,***,***,***,2,***,***,***,***,***,***,6,***,8,4,1,1,2,14,14.3%,10,1,1,0,1,12,8.3%,24,7,2,4,6,37,16.2%,
9785,IN Math & Science Academy,9,10,20,26,46,65,70.8%,25,16,20,1,21,62,33.9%,12,6,10,27,37,55,67.3%,12,5,15,20,35,52,67.3%,22,13,11,8,19,54,35.2%,18,12,12,16,28,58,48.3%,98,62,88,98,186,346,53.8%,
9790,Anderson Preparatory Academy,25,16,6,4,10,51,19.6%,37,9,6,1,7,53,13.2%,41,4,2,1,3,48,6.3%,61,7,2,1,3,71,4.2%,70,5,0,0,0,75,0.0%,64,10,1,1,2,76,2.6%,298,51,17,8,25,374,6.7%,
9829,Monarca Academy,,,,,,,,,,,,,,,,,,,,,,19,2,3,0,3,24,12.5%,44,23,5,6,11,78,14.1%,,,,,,,,63,25,8,6,14,102,13.7%,
9835,The Bloomington Project School,5,8,14,10,24,37,64.9%,8,6,10,9,19,33,57.6%,10,13,9,9,18,41,43.9%,10,11,7,4,11,32,34.4%,8,9,1,6,7,24,29.2%,10,3,5,10,15,28,53.6%,51,50,46,48,94,195,48.2%,
9870,Discovery Charter School,8,13,22,31,53,74,71.6%,17,17,20,20,40,74,54.1%,12,19,11,17,28,59,47.5%,25,14,6,5,11,50,22.0%,19,7,6,7,13,39,33.3%,21,8,6,7,13,42,31.0%,102,78,71,87,158,338,46.7%,
9875,Rock Creek Community Academy,13,9,25,10,35,57,61.4%,9,19,14,9,23,51,45.1%,12,16,13,8,21,49,42.9%,18,16,8,3,11,45,24.4%,23,20,10,0,10,53,18.9%,17,14,4,4,8,39,20.5%,92,94,74,34,108,294,36.7%,
9895,IN Math & Science Academy - North,26,8,7,0,7,41,17.1%,31,10,4,1,5,46,10.9%,35,4,4,0,4,43,9.3%,34,8,4,3,7,49,14.3%,49,20,0,0,0,69,0.0%,39,12,5,2,7,58,12.1%,214,62,24,6,30,306,9.8%,
9905,Indiana Connections Academy,82,33,41,11,52,167,31.1%,95,36,26,11,37,168,22.0%,132,43,21,13,34,209,16.3%,172,53,25,13,38,263,14.4%,167,130,24,17,41,338,12.1%,320,84,45,25,70,474,14.8%,968,379,182,90,272,1619,16.8%,
9920,Damar Charter Academy,***,***,***,***,***,2,***,***,***,***,***,***,5,***,***,***,***,***,***,6,***,***,***,***,***,***,7,***,***,***,***,***,***,4,***,11,0,1,0,1,12,8.3%,34,1,1,0,1,36,2.8%,
9925,Phalen Leadership Academy - IN Inc,16,10,3,0,3,29,10.3%,18,5,3,0,3,26,11.5%,10,7,0,1,1,18,5.6%,14,1,2,0,2,17,11.8%,21,3,0,0,0,24,0.0%,10,4,0,0,0,14,0.0%,89,30,8,1,9,128,7.0%,
9935,Vision Academy,32,13,3,1,4,49,8.2%,16,9,5,0,5,30,16.7%,14,10,7,0,7,31,22.6%,36,8,3,1,4,48,8.3%,27,13,1,1,2,42,4.8%,34,15,2,1,3,52,5.8%,159,68,21,4,25,252,9.9%,
9950,Dugger Union Community School Corp,19,13,12,2,14,46,30.4%,19,3,8,2,10,32,31.3%,21,13,7,4,11,45,24.4%,24,12,4,6,10,46,21.7%,41,7,2,0,2,50,4.0%,43,9,3,0,3,55,5.5%,167,57,36,14,50,274,18.2%,
9954,Phalen Leadership Academy at Louis B Russell School 48,24,8,9,0,9,41,22.0%,22,6,7,1,8,36,22.2%,23,8,4,1,5,36,13.9%,21,3,3,3,6,30,20.0%,,,,,,,,,,,,,,,90,25,23,5,28,143,19.6%,
9955,Mays Community Academy,5,4,3,0,3,12,25.0%,8,7,3,1,4,19,21.1%,8,5,1,1,2,15,13.3%,7,3,3,2,5,15,33.3%,,,,,,,,,,,,,,,28,19,10,4,14,61,23.0%,
9960,Success Academy Primary School,38,18,29,10,39,95,41.1%,54,13,13,0,13,80,16.3%,54,16,9,6,15,85,17.6%,,,,,,,,,,,,,,,,,,,,,,146,47,51,16,67,260,25.8%,
9965,Career Academy Middle School,,,,,,,,,,,,,,,,,,,,,,82,22,8,1,9,113,8.0%,117,17,5,0,5,139,3.6%,100,15,10,0,10,125,8.0%,299,54,23,1,24,377,6.4%,
9970,ACE Preparatory Academy,7,7,2,0,2,16,12.5%,7,7,5,1,6,20,30.0%,8,4,5,2,7,19,36.8%,,,,,,,,,,,,,,,,,,,,,,22,18,12,3,15,55,27.3%,
9975,Global Preparatory Academy,54,22,16,6,22,98,22.4%,28,5,10,3,13,46,28.3%,40,12,7,2,9,61,14.8%,59,9,2,0,2,70,2.9%,46,9,5,2,7,62,11.3%,31,3,3,0,3,37,8.1%,258,60,43,13,56,374,15.0%,
9980,Steel City Academy,20,2,1,0,1,23,4.3%,19,2,1,0,1,22,4.5%,23,2,0,0,0,25,0.0%,21,5,2,0,2,28,7.1%,9,4,1,0,1,14,7.1%,15,4,3,1,4,23,17.4%,107,19,8,1,9,135,6.7%,
9985,Seven Oaks Classical School,2,5,17,28,45,52,86.5%,0,6,14,23,37,43,86.0%,3,12,9,17,26,41,63.4%,4,6,7,16,23,33,69.7%,5,19,13,9,22,46,47.8%,5,8,8,5,13,26,50.0%,19,56,68,98,166,241,68.9%,
9990,Higher Institute of Arts & Tech,20,3,3,0,3,26,11.5%,17,5,1,1,2,24,8.3%,13,7,2,1,3,23,13.0%,23,2,2,0,2,27,7.4%,17,3,1,0,1,21,4.8%,20,4,1,0,1,25,4.0%,110,24,10,2,12,146,8.2%,
