Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
3460,Taylor Community School Corp,13,71,18.3%,12,79,15.2%,10,91,11.0%,7,88,8.0%,10,93,10.8%,7,81,8.6%,59,503,11.7%,
3470,Northwestern School Corp,32,124,25.8%,55,135,40.7%,53,130,40.8%,65,162,40.1%,49,160,30.6%,49,130,37.7%,303,841,36.0%,
3480,Eastern Howard School Corporation,41,118,34.7%,41,116,35.3%,31,123,25.2%,49,122,40.2%,40,126,31.7%,28,122,23.0%,230,727,31.6%,
3490,Western School Corporation,64,187,34.2%,72,192,37.5%,67,193,34.7%,73,195,37.4%,73,182,40.1%,72,192,37.5%,421,1141,36.9%,
3500,Kokomo School Corporation,68,378,18.0%,77,335,23.0%,71,361,19.7%,37,339,10.9%,43,324,13.3%,51,329,15.5%,347,2066,16.8%,
3625,Huntington Co Com Sch Corp,114,362,31.5%,122,375,32.5%,100,351,28.5%,94,381,24.7%,74,360,20.6%,85,353,24.1%,589,2182,27.0%,
3640,Medora Community School Corp,***,7,***,4,14,28.6%,4,13,30.8%,***,8,***,***,8,***,0,11,0.0%,13,61,21.3%,
3675,Seymour Community Schools,81,414,19.6%,98,438,22.4%,76,433,17.6%,89,385,23.1%,76,396,19.2%,66,375,17.6%,486,2441,19.9%,
3695,Brownstown Cnt Com Sch Corp,28,87,32.2%,19,104,18.3%,25,100,25.0%,22,98,22.4%,21,95,22.1%,16,102,15.7%,131,586,22.4%,
3710,Crothersville Community Schools,6,41,14.6%,3,28,10.7%,6,43,14.0%,5,27,18.5%,3,34,8.8%,1,28,3.6%,24,201,11.9%,
3785,Kankakee Valley School Corp,114,234,48.7%,111,234,47.4%,83,228,36.4%,62,239,25.9%,58,250,23.2%,61,234,26.1%,489,1419,34.5%,
3815,Rensselaer Central School Corp,41,106,38.7%,44,96,45.8%,58,109,53.2%,45,118,38.1%,49,115,42.6%,22,85,25.9%,259,629,41.2%,
3945,Jay School Corporation,102,246,41.5%,78,211,37.0%,69,228,30.3%,61,205,29.8%,57,240,23.8%,66,204,32.4%,433,1334,32.5%,
3995,Madison Consolidated Schools,47,167,28.1%,58,189,30.7%,47,153,30.7%,59,171,34.5%,41,167,24.6%,75,189,39.7%,327,1036,31.6%,
4000,Southwestern-Jefferson Co Con,41,91,45.1%,25,74,33.8%,23,80,28.8%,17,115,14.8%,14,88,15.9%,3,87,3.4%,123,535,23.0%,
4015,Jennings County School Corporation,74,252,29.4%,78,317,24.6%,64,279,22.9%,81,278,29.1%,71,296,24.0%,62,313,19.8%,430,1735,24.8%,
4145,Clark-Pleasant Community Sch Corp,201,515,39.0%,190,519,36.6%,208,547,38.0%,203,536,37.9%,188,551,34.1%,191,532,35.9%,1181,3200,36.9%,
4205,Center Grove Community School Corp,354,698,50.7%,416,755,55.1%,356,722,49.3%,404,769,52.5%,355,808,43.9%,346,740,46.8%,2231,4492,49.7%,
4215,Edinburgh Community School Corp,18,60,30.0%,12,59,20.3%,4,66,6.1%,14,57,24.6%,6,50,12.0%,12,67,17.9%,66,359,18.4%,
4225,Franklin Community School Corp,117,365,32.1%,125,356,35.1%,98,360,27.2%,120,357,33.6%,111,366,30.3%,102,355,28.7%,673,2159,31.2%,
4245,Greenwood Community Sch Corp,106,277,38.3%,120,337,35.6%,94,311,30.2%,103,329,31.3%,94,313,30.0%,131,308,42.5%,648,1875,34.6%,
4255,Nineveh-Hensley-Jackson United,51,152,33.6%,62,159,39.0%,60,149,40.3%,43,162,26.5%,44,151,29.1%,35,168,20.8%,295,941,31.3%,
4315,North Knox School Corp,25,88,28.4%,27,96,28.1%,23,94,24.5%,24,97,24.7%,33,121,27.3%,11,79,13.9%,143,575,24.9%,
4325,South Knox School Corp,34,97,35.1%,39,106,36.8%,26,87,29.9%,22,93,23.7%,23,98,23.5%,26,89,29.2%,170,570,29.8%,
4335,Vincennes Community School Corp,54,197,27.4%,55,211,26.1%,57,209,27.3%,39,202,19.3%,40,215,18.6%,28,188,14.9%,273,1222,22.3%,
4345,Wawasee Community School Corp,72,186,38.7%,74,193,38.3%,52,195,26.7%,42,209,20.1%,41,196,20.9%,46,198,23.2%,327,1177,27.8%,
4415,Warsaw Community Schools,189,545,34.7%,172,515,33.4%,180,547,32.9%,189,479,39.5%,188,496,37.9%,151,499,30.3%,1069,3081,34.7%,
4445,Tippecanoe Valley School Corp,41,129,31.8%,49,123,39.8%,41,135,30.4%,22,144,15.3%,28,141,19.9%,40,143,28.0%,221,815,27.1%,
4455,Whitko Community School Corp,24,97,24.7%,17,88,19.3%,12,88,13.6%,15,90,16.7%,11,84,13.1%,12,76,15.8%,91,523,17.4%,
4515,Prairie Heights Community Sch Corp,50,126,39.7%,28,92,30.4%,26,100,26.0%,8,81,9.9%,22,93,23.7%,23,107,21.5%,157,599,26.2%,
4525,Westview School Corporation,84,166,50.6%,106,185,57.3%,79,172,45.9%,76,152,50.0%,68,171,39.8%,68,162,42.0%,481,1008,47.7%,
4535,Lakeland School Corporation,24,92,26.1%,27,115,23.5%,24,109,22.0%,18,114,15.8%,20,103,19.4%,20,108,18.5%,133,641,20.7%,
4570,NW Indiana Special Education Coop,***,2,***,***,5,***,***,1,***,***,1,***,***,6,***,***,2,***,0,17,0.0%,
4580,Hanover Community School Corp,102,213,47.9%,90,211,42.7%,88,208,42.3%,92,222,41.4%,77,210,36.7%,55,228,24.1%,504,1292,39.0%,
4590,River Forest Community Sch Corp,13,123,10.6%,15,105,14.3%,27,104,26.0%,7,111,6.3%,9,119,7.6%,7,122,5.7%,78,684,11.4%,
4600,Merrillville Community School Corp,76,394,19.3%,120,433,27.7%,67,351,19.1%,86,407,21.1%,41,424,9.7%,58,453,12.8%,448,2462,18.2%,
4615,Lake Central School Corporation,296,595,49.7%,352,716,49.2%,281,679,41.4%,228,609,37.4%,217,715,30.3%,235,726,32.4%,1609,4040,39.8%,
4645,Tri-Creek School Corporation,121,250,48.4%,125,247,50.6%,126,223,56.5%,78,232,33.6%,94,252,37.3%,61,233,26.2%,605,1437,42.1%,
4650,Lake Ridge New Tech Schools,7,79,8.9%,4,95,4.2%,6,94,6.4%,3,104,2.9%,3,106,2.8%,2,117,1.7%,25,595,4.2%,
4660,Crown Point Community School Corp,313,656,47.7%,271,622,43.6%,277,676,41.0%,261,697,37.4%,255,672,37.9%,287,729,39.4%,1664,4052,41.1%,
4670,School City of East Chicago,22,223,9.9%,15,210,7.1%,20,230,8.7%,20,215,9.3%,3,219,1.4%,8,217,3.7%,88,1314,6.7%,
4680,Lake Station Community Schools,13,82,15.9%,7,73,9.6%,14,93,15.1%,4,61,6.6%,4,69,5.8%,0,65,0.0%,42,443,9.5%,
4690,Gary Community School Corp,25,371,6.7%,10,405,2.5%,7,334,2.1%,7,253,2.8%,3,208,1.4%,2,231,0.9%,54,1802,3.0%,
4700,Griffith Public Schools,41,155,26.5%,31,131,23.7%,51,140,36.4%,27,145,18.6%,22,130,16.9%,38,144,26.4%,210,845,24.9%,
4710,School City of Hammond,91,808,11.3%,75,817,9.2%,90,820,11.0%,55,737,7.5%,27,703,3.8%,14,712,2.0%,352,4597,7.7%,
4720,School Town of Highland,87,224,38.8%,80,238,33.6%,81,237,34.2%,107,247,43.3%,74,259,28.6%,51,225,22.7%,480,1430,33.6%,
4730,School City of Hobart,89,289,30.8%,112,319,35.1%,96,292,32.9%,104,306,34.0%,74,285,26.0%,64,298,21.5%,539,1789,30.1%,
4740,School Town of Munster,159,272,58.5%,178,272,65.4%,190,334,56.9%,166,314,52.9%,166,317,52.4%,158,310,51.0%,1017,1819,55.9%,
4760,School City of Whiting,26,67,38.8%,15,63,23.8%,18,74,24.3%,33,75,44.0%,5,77,6.5%,9,98,9.2%,106,454,23.3%,
4805,New Prairie United School Corp,109,206,52.9%,104,203,51.2%,100,210,47.6%,77,202,38.1%,96,226,42.5%,80,226,35.4%,566,1273,44.5%,
4860,MSD of New Durham Township,20,84,23.8%,24,76,31.6%,17,65,26.2%,19,77,24.7%,19,66,28.8%,23,66,34.8%,122,434,28.1%,
4915,Tri-Township Cons School Corp,4,27,14.8%,13,22,59.1%,4,20,20.0%,3,14,21.4%,3,19,15.8%,7,27,25.9%,34,129,26.4%,
