2024 Spring-Summer IREAD-3 Results,,,,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,,,,
Public/Nonpublic,Corp Id,Corp Name,Sch Id,Sch Name,IREAD PASS N,IREAD TEST N,IREAD Pass%
Public,9054,The Genius School,9924,The Genius School,13,17,76.5%
Public,9060,Paramount Cottage Home,0139,Paramount Cottage Home,61,81,75.3%
Public,9065,Allegiant Preparatory Academy,1002,Allegiant Preparatory Academy,25,25,100.0%
Public,9085,pilotED Schools,1006,Bethel Park Elementary | pilotED Schools,31,43,72.1%
Public,9090,Matchbook Learning  ,1041,Matchbook Learning,28,75,37.3%
Public,9130,Adelante Schools,9993,Emma Donnan Elementary and Middle,23,32,71.9%
Public,9150,Circle City Prep Charter School,1126,Circle City Preparatory Elementary School,29,43,67.4%
Public,9310,Charter School of the Dunes,1535,Charter School of the Dunes,42,79,53.2%
Public,9320,Community Montessori Inc,1536,Community Montessori,22,36,61.1%
Public,9330,Irvington Community School,1531,Irvington Community Elementary School,38,54,70.4%
Public,9350,Timothy L Johnson Academy,1539,Timothy L Johnson Academy,35,58,60.3%
Public,9365,Enlace Academy,5667,Enlace Academy,30,74,40.5%
Public,9380,Christel House Academy South,5874,Christel House Academy South,35,50,70.0%
Public,9395,Christel House Academy West,5871,Christel House Academy West,38,54,70.4%
Public,9410,KIPP Indy Unite Elementary,5741,KIPP Indy Unite Elementary,54,107,50.5%
Public,9425,Tindley Genesis Academy,5621,Tindley Genesis Academy,39,64,60.9%
Public,9430,Tindley Summit Academy,5629,Tindley Summit Academy,19,33,57.6%
Public,9460,Thea Bowman Leadership Academy,4022,Thea Bowman Leadership Academy,40,61,65.6%
Public,9465,Rural Community Schools Inc,7951,Rural Community Academy,***,6,***
Public,9485,SE Neighborhood Sch of Excellence,5868,SE Neighborhood Sch of Excellence,42,68,61.8%
Public,9495,Joshua Academy,8203,Joshua Academy,34,42,81.0%
Public,9531,Paramount Online Academy,9701,Paramount Online Academy,9,13,69.2%
Public,9533,Promise Prep,9703,PLA@Promise Prep,7,17,41.2%
Public,9534,Indy Steam Academy,9704,Indy Steam Academy,18,26,69.2%
Public,9535,Gary Lighthouse Charter School,4130,Gary Lighthouse Charter School,60,79,75.9%
Public,9536,Lawrence County Independent Schools,9706,Lawrence County Independent Schools,18,21,85.7%
Public,9537,The Nature School of Central Indiana,9707,The Nature School of Central Indiana,12,14,85.7%
Public,9538,Herron Preparatory Academy,9702,Herron Preparatory Academy,33,35,94.3%
Public,9545,21st Century Charter Sch of Gary,4164,21st Century Charter Sch of Gary,54,76,71.1%
Public,9555,East Chicago Urban Enterprise Academy,3935,East Chicago Urban Enterprise Academy,41,48,85.4%
Public,9575,Victory College Prep,5523,Victory College Prep,55,72,76.4%
Public,9595,East Chicago Lighthouse Charter,3971,East Chicago Lighthouse,40,51,78.4%
Public,9605,IN Sch for the Blind & Vis Imprd,C460,IN Sch for the Blind & Vis Imprd,***,2,***
Public,9610,Indiana School For The Deaf,C695,Indiana School For The Deaf,1,24,4.2%
Public,9615,Andrew J Brown Academy,5488,Andrew J Brown Academy,33,68,48.5%
Public,9620,Burris Laboratory School,1441,Burris Laboratory School,39,41,95.1%
Public,9645,Avondale Meadows Academy,5716,Avondale Meadows Academy,33,53,62.3%
Public,9665,Geist Montessori Academy,2572,Geist Montessori Academy,36,42,85.7%
Public,9680,Paramount Brookside ,5508,Paramount Brookside ,93,100,93.0%
Public,9685,Aspire Charter Academy,4043,Aspire Charter Academy,38,62,61.3%
Public,9690,Renaissance Academy Charter School,4711,Renaissance Academy Charter School,35,37,94.6%
Public,9722,Springville Community Academy,9107,Springville Community Academy,18,20,90.0%
Public,9725,Canaan Community Academy,3312,Canaan Community Academy,10,19,52.6%
Public,9735,Inspire Academy - A Sch of Inquiry,1518,Inspire Academy - A Sch of Inquiry,10,20,50.0%
Public,9737,Liberty Grove Schools,9002,Liberty Grove Schools,14,34,41.2%
Public,9785,IN Math & Science Academy,5837,IN Math & Science Academy,58,63,92.1%
Public,9790,Anderson Preparatory Academy,5092,Anderson Preparatory Academy,37,50,74.0%
Public,9835,The Bloomington Project School,6215,The Bloomington Project School,32,36,88.9%
Public,9870,Discovery Charter School,6824,Discovery Charter School,68,79,86.1%
Public,9875,Rock Creek Community Academy,0771,Rock Creek Community Academy,55,58,94.8%
Public,9895,IN Math & Science Academy - North,5444,IN Math & Science Academy - North,29,41,70.7%
Public,9905,Indiana Connections Academy,7944,Indiana Connections Academy,96,155,61.9%
Public,9920,Damar Charter Academy,5191,Damar Charter Academy,***,2,***
Public,9925,Phalen Leadership Academy - IN Inc,5496,Phalen Leadership Academy - IN Inc,15,27,55.6%
Public,9935,Vision Academy,5899,Vision Academy,26,46,56.5%
Public,9950,Dugger Union Community School Corp,7952,Dugger Union Community School Corp,34,43,79.1%
Public,9954,Phalen Leadership Academy at Louis B Russell School 48,5548,Louis B Russell Jr School 48,24,40,60.0%
Public,9955,Mays Community Academy,7231,Mays Community Academy,12,14,85.7%
Public,9960,Success Academy Primary School,7562,Success Academy Primary School,66,93,71.0%
Public,9970,ACE Preparatory Academy,1111,ACE Preparatory Academy,19,21,90.5%
Public,9975,Global Preparatory Academy,1112,Global Preparatory Academy,55,96,57.3%
Public,9980,Steel City Academy,1113,Steel City Academy,14,20,70.0%
Public,9985,Seven Oaks Classical School,1114,Seven Oaks Classical School,46,50,92.0%
